,network,station,longitude,latitude,start_date,end_date,sid,x,y,flag
580,NP,1778,-121.979782,37.302494,2000-06-26T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1778,107014.1513847564,55606.82256946503,True
581,NP,1779,-121.866562,37.267475,2000-06-29T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1779,116031.18158042745,49722.16646986772,True
582,NP,1780,-121.916168,37.263519,2000-06-26T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1780,113820.43953044456,53552.45180735682,True
583,NP,1781,-121.9039,37.301434,2000-06-29T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1781,111037.89483153269,50212.97533609461,True
584,NP,1782,-121.943535,37.318157,2000-06-29T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1782,107479.65002337593,51982.88450178674,True
585,NP,1783,-121.849152,37.306599,2000-06-22T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1783,113403.62146576213,45935.517925618595,True
586,NP,1784,-122.17239,37.45562,2000-01-13T18:00:00.000000Z,2012-08-02T18:00:00.000000Z,NP.1784,83249.6141274013,59501.25332212199,True
587,NP,1785,-121.873665,37.660809,2000-08-11T00:00:00.000000Z,2005-08-22T19:45:00.000000Z,NP.1785,80197.78623881079,24770.784546507984,True
588,NP,1786,-121.739571,37.680305,2000-08-11T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1786,85331.97328748423,13893.357189273767,True
589,NP,1787,-122.20612,37.41785,2000-07-03T18:00:00.000000Z,2014-12-18T18:00:00.000000Z,NP.1787,84897.58470348745,64376.77088736257,True
590,NP,1788,-121.915405,37.417019,2001-06-06T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1788,100024.3750267569,43554.073471231706,True
591,NP,1789,-121.9846,37.3923,2001-06-04T18:00:00.000000Z,2006-02-22T18:00:00.000000Z,NP.1789,98674.36395259135,50130.25690137812,True
592,NP,1790,-122.367409,37.590942,2001-06-07T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1790,60972.15562704521,64652.494942172816,True
593,NP,1791,-122.0389,37.36495,2001-07-18T18:00:00.000000Z,2007-11-28T18:00:00.000000Z,NP.1791,98326.79921758431,55807.24053767422,True
595,NP,1792,-122.425278,37.747662,2001-06-11T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1792,43897.55936268857,58560.65040432586,True
596,NP,1793,-121.807777,37.346535,2001-07-12T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1793,111939.24949045543,40371.64820825985,True
597,NP,1794,-122.001068,37.407181,2001-08-27T00:00:00.000000Z,2017-03-29T21:45:00.000000Z,NP.1794,96481.85528908098,50348.71953848965,True
598,NP,1794B,-122.00562,37.40373,2020-11-03T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1794B,96557.17653310481,50899.6344109614,True
599,NP,1795,-122.386787,37.746639,2001-09-19T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1795,45983.374108673495,55882.77341867058,True
600,NP,1796,-122.06041,37.394146,2001-08-30T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1796,94583.88199096013,55457.86789976721,True
601,NP,1798,-121.843742,37.376015,2001-07-11T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1798,107423.03642257728,41053.85605725901,True
602,NP,1799,-121.986237,37.271133,2001-06-28T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1799,109504.87453075688,58104.95833167947,True
